Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL505986,,0,588.69,2,0.57,12a,CC[C@H](C)[C@H](NS(=O)(=O)Cc1ccccc1C(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,Ki,'=',113,nM,6.95,,,UO_0000065,11.8,0.23,6.38,2.96,FALSE,CHEMBL1005617,Inhibition of human factor 11a,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL1156606,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL3781581,,0,469.59,0,4.5,()-4,NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4c(O)n[nH]c4c3)ccn2)CC1,Ki,'=',97,nM,7.01,,,UO_0000065,14.93,0.27,2.51,6,FALSE,CHEMBL3784478,Competitive inhibition of human coagulation factor 11a assessed as reduction in release of p-nitroaniline after 10 to 120 mins by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3779805,1,Scientific Literature,Bioorg. Med. Chem.,2016,None,
CHEMBL3127491,,0,603.72,3,6.28,3,CC(C)CC(=O)Nc1cc(-c2ccc(C(N)=O)cc2C(=O)O)cc([C@@H]2C[C@](C)(c3ccccc3)c3cc(C(=N)N)ccc3N2)c1,Ki,'=',0.2,nM,9.7,,,UO_0000065,16.07,0.29,3.42,5.66,FALSE,CHEMBL3377177,Inhibition of human coagulation factor 11a using p-nitroaniline as substrate assessed as substrate hydrolysis by spectrophotometrically,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3351269,1,Scientific Literature,J. Med. Chem.,2014,None,
CHEMBL4444690,,0,615.09,2,5.58,8,CC[C@@H]1CCC[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2cc(ccn2)-c2ccc(NC(=O)OC)cc2NC1=O,Ki,'=',0.2,nM,9.7,,,UO_0000065,15.77,0.3,4.12,6.34,FALSE,CHEMBL4357332,Inhibition of human activated factor XI using pyro-Glu-Pro-Arg-pNA as substrate by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4354834,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4227477,,0,595.06,2,5.37,7,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)c(C)nn2)cc1,Ki,'=',6.1,nM,8.21,,,UO_0000065,13.8,0.26,2.84,6,FALSE,CHEMBL4221624,Inhibition of human factor 11a using pyro-Glu-Pro-Arg-pNA as substrate measured after 10 to 120 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4219113,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4225620,,0,616.47,2,5.11,16,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccncc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,Ki,'=',12,nM,7.92,,,UO_0000065,12.85,0.25,2.81,5.29,FALSE,CHEMBL4221624,Inhibition of human factor 11a using pyro-Glu-Pro-Arg-pNA as substrate measured after 10 to 120 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4219113,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4081328,,0,542.98,1,4.1,30,Cc1ccc2c(c1)C(C(=O)Nc1ccc(C(=O)O)cc1)N(C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)CC2,Ki,'=',28,nM,7.55,,,UO_0000065,13.91,0.26,3.45,5.8,FALSE,CHEMBL4032027,Inhibition of human factor 11a using pyro-Glu-Pro-Arg-pNA as substrate at 37 degC after 10 to 120 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4028883,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL4551053,,0,586,2,6.49,14,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3c(F)ccc(Cl)c3F)OC1=O)c1nc-2c[nH]1,Ki,'=',4.7,nM,8.33,,,UO_0000065,14.21,0.28,1.84,6.63,FALSE,CHEMBL4400097,Inhibition of activated human coagulation factor 11 using pyroGlu-Pro-Arg-pNA as substrate incubated for 10 to 120 mins by spectrofluorometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4396948,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,
CHEMBL4460266,,0,584.02,2,6.31,16,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3c(F)ccc(Cl)c3F)CC1=O)c1nc-2c[nH]1,Ki,'=',2.2,nM,8.66,,,UO_0000065,14.82,0.29,2.35,7.44,FALSE,CHEMBL4400097,Inhibition of activated human coagulation factor 11 using pyroGlu-Pro-Arg-pNA as substrate incubated for 10 to 120 mins by spectrofluorometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL4396948,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,
CHEMBL3393372,,0,412.58,1,5.52,()-12,NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cccc(-c3ccccc3)c2)CC1,Ki,'=',936,nM,6.03,,,UO_0000065,14.61,0.27,0.51,10.94,FALSE,CHEMBL3395462,Inhibition of human coagulation factor 11a after 10 to 120 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2820,Coagulation factor XI,Homo sapiens,SINGLE PROTEIN,CHEMBL3393047,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
