smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,rtb,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,pChEMBL Value
CC[C@H](C)[C@H](NS(=O)(=O)Cc1ccccc1C(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,0.57,2.0,-1.69,-1.68,3.78,588.69,7.0,13.0,7.0,9.0,41.0,0.5,588.69,588.2366,3.0,2.0,234.63,0.11,16.0,588.69,11.8,0.23,6.38,2.96,6.95
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4c(O)n[nH]c4c3)ccn2)CC1,4.5,4.0,3.69,3.7,5.95,469.59,5.0,7.0,4.0,5.0,35.0,0.5,469.59,469.2478,0.0,0.0,116.92,0.32,7.0,469.59,14.93,0.27,2.51,6.0,7.01
CC(C)CC(=O)Nc1cc(-c2ccc(C(N)=O)cc2C(=O)O)cc([C@@H]2C[C@](C)(c3ccccc3)c3cc(C(=N)N)ccc3N2)c1,6.28,4.0,3.54,3.54,3.49,603.72,5.0,9.0,6.0,8.0,45.0,0.5,603.72,603.2846,3.0,3.0,171.39,0.1,9.0,603.72,16.07,0.29,3.42,5.66,9.7
CC[C@@H]1CCC[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2cc(ccn2)-c2ccc(NC(=O)OC)cc2NC1=O,5.58,4.0,4.84,4.84,12.72,615.09,9.0,12.0,3.0,3.0,44.0,0.0,615.09,614.2157,3.0,2.0,153.02,0.24,6.0,615.09,15.77,0.3,4.12,6.34,9.7
COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)c(C)nn2)cc1,5.37,5.0,4.82,4.82,12.89,595.06,9.0,11.0,2.0,2.0,43.0,0.0,595.06,594.1895,3.0,2.0,136.81,0.22,9.0,595.06,13.8,0.26,2.84,6.0,8.21
COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccncc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,5.11,5.0,4.14,4.14,12.81,616.47,10.0,12.0,2.0,2.0,43.0,0.0,616.47,615.1301,3.0,2.0,149.7,0.22,9.0,616.47,12.85,0.25,2.81,5.29,7.92
Cc1ccc2c(c1)C(C(=O)Nc1ccc(C(=O)O)cc1)N(C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)CC2,4.1,4.0,1.42,4.48,4.16,542.98,7.0,10.0,2.0,2.0,39.0,-1.0,542.98,542.1469,1.0,1.0,130.31,0.35,6.0,542.98,13.91,0.26,3.45,5.8,7.55
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3c(F)ccc(Cl)c3F)OC1=O)c1nc-2c[nH]1,6.49,3.0,4.81,4.82,12.25,586.0,6.0,10.0,3.0,3.0,41.0,0.0,586.0,585.1591,2.0,2.0,125.65,0.24,3.0,586.0,14.21,0.28,1.84,6.63,8.33
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3c(F)ccc(Cl)c3F)CC1=O)c1nc-2c[nH]1,6.31,3.0,4.61,4.62,12.25,584.02,5.0,9.0,3.0,3.0,41.0,0.0,584.02,583.1798,2.0,2.0,116.42,0.25,3.0,584.02,14.82,0.29,2.35,7.44,8.66
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3[nH]c(=O)cc(O)c3c2)c(Cl)[nH]1,5.02,6.0,3.62,4.32,6.8,613.47,8.0,11.0,4.0,4.0,43.0,0.0,613.47,612.1192,3.0,2.0,154.47,0.18,8.0,613.47,15.88,0.31,4.72,6.31,9.74
Cc1ccc(-n2cnnn2)c(CCC(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)c1,4.59,6.0,3.45,4.15,6.8,595.06,8.0,11.0,4.0,4.0,43.0,0.0,595.06,594.1895,2.0,1.0,154.47,0.19,9.0,595.06,15.63,0.3,4.71,6.02,9.3
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3c(c2)CCC(=O)N3)c(Cl)[nH]1,5.36,5.0,4.99,4.99,10.24,599.48,7.0,10.0,3.0,3.0,42.0,0.0,599.48,598.1399,2.0,2.0,130.48,0.21,8.0,599.48,12.88,0.25,2.36,5.92,7.72
COC(=O)Nc1ccc2c(c1)NC(=O)CCc1cccc(n1)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.28,5.0,3.22,3.22,12.18,639.08,10.0,14.0,4.0,4.0,46.0,0.0,639.08,638.1905,2.0,1.0,181.7,0.2,5.0,639.08,14.86,0.28,5.21,5.23,9.49
O=C(N[C@@H](Cc1ccccc1)C(=O)NCCc1cc(Cl)ccc1-n1cnnn1)c1ccc2[nH]c(=O)cc(O)c2c1,2.56,5.0,1.95,2.69,6.74,558.0,8.0,11.0,4.0,4.0,40.0,0.0,558.0,557.1578,2.0,1.0,154.89,0.22,9.0,558.0,15.76,0.3,6.24,5.68,8.8
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2c[nH]c(-c3ccccc3)n2)CC1,4.24,3.0,1.45,3.97,12.13,402.54,3.0,5.0,3.0,4.0,30.0,1.0,402.54,402.242,0.0,0.0,83.8,0.55,7.0,402.54,14.37,0.26,1.55,6.9,5.79
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)O)cc1,3.39,4.0,0.93,3.99,4.16,516.95,7.0,10.0,3.0,3.0,37.0,-1.0,516.95,516.1313,1.0,1.0,139.1,0.29,9.0,516.95,16.83,0.32,5.31,6.25,8.7
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1,2.88,5.0,2.01,3.61,4.31,540.98,9.0,12.0,3.0,3.0,39.0,-1.0,540.98,540.1537,2.0,1.0,156.26,0.24,9.0,540.98,16.37,0.31,5.97,5.67,8.85
C[C@@H](O)[C@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,-1.1,2.0,-3.69,-3.65,4.03,576.63,8.0,14.0,8.0,10.0,40.0,0.5,576.63,576.2002,3.0,2.0,254.86,0.09,15.0,576.63,11.42,0.22,7.69,2.58,6.59
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C(C)C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.15,4.0,4.6,4.6,12.2,618.1,9.0,13.0,4.0,4.0,44.0,0.0,618.1,617.2266,3.0,2.0,168.81,0.22,6.0,618.1,15.94,0.31,4.7,5.84,9.85
